stream_id,username,fullname,komentar,tanggal,likes,replies,topics,clean_text,tokens,normalized,no_stopword,negation,stems,stem_text,length,label,token_count,tanggal_dt,sentiment_score
31546830,Brigs,Him,$BUMI Jangan beli ntar nyangkut,2026-05-11 11:03:45,0,0,BUMI,bumi jangan beli ntar nyangkut,"['bumi', 'jangan', 'beli', 'ntar', 'nyangkut']","['bumi', 'jangan', 'beli', 'ntar', 'nyangkut']","['bumi', 'jangan', 'beli', 'ntar', 'nyangkut']","['bumi', 'jangan_beli', 'ntar', 'nyangkut']","['bumi', 'jangan beli', 'ntar', 'nyangkut']",bumi jangan beli ntar nyangkut,30,2,4,2026-05-11 11:03:45+00:00,0.0
31546681,AdrianAbhinaya,Adrian Abhinaya,"Dikit lagi araaaaaa $MEDS

RT $ESIP $BUMI",2026-05-11 11:02:46,0,0,"MEDS, ESIP, BUMI",dikit lagi araa meds rt esip bumi,"['dikit', 'lagi', 'araa', 'meds', 'rt', 'esip', 'bumi']","['dikit', 'lagi', 'araa', 'meds', 'rt', 'esip', 'bumi']","['dikit', 'araa', 'meds', 'rt', 'esip', 'bumi']","['dikit', 'araa', 'meds', 'rt', 'esip', 'bumi']","['dikit', 'araa', 'meds', 'rt', 'esip', 'bumi']",dikit araa meds rt esip bumi,28,0,6,2026-05-11 11:02:46+00:00,-4.0
31546627,Syauky,Analisa5MenitTPsehari,"$BUMIDRCM6A di tengah ribut² CL saya tetep HOLD😎😂 
BTW ADA YANG SAMA2 NYANGKUT NGGK?spil Spil hehe
$BUMI$WBSA",2026-05-11 11:02:20,1,5,"BUMIDRCM6A, bumi, wbsa",bumidrcma di tengah ribut² cl saya tetep hold btw ada yang sama nyangkut nggk spil spil hehe bumi wbsa,"['bumidrcma', 'di', 'tengah', 'ribut²', 'cl', 'saya', 'tetep', 'hold', 'btw', 'ada', 'yang', 'sama', 'nyangkut', 'nggk', 'spil', 'spil', 'hehe', 'bumi', 'wbsa']","['bumidrcma', 'di', 'tengah', 'ribut²', 'cl', 'saya', 'tetep', 'hold', 'btw', 'ada', 'yang', 'sama', 'nyangkut', 'tidak', 'spil', 'spil', 'hehe', 'bumi', 'wbsa']","['bumidrcma', 'ribut²', 'cl', 'tetep', 'hold', 'btw', 'nyangkut', 'tidak', 'spil', 'spil', 'bumi', 'wbsa']","['bumidrcma', 'ribut²', 'cl', 'tetep', 'hold', 'btw', 'nyangkut', 'tidak_spil', 'spil', 'bumi', 'wbsa']","['bumidrcma', 'ribut', 'cl', 'tetep', 'hold', 'btw', 'nyangkut', 'tidak spil', 'spil', 'bumi', 'wbsa']",bumidrcma ribut cl tetep hold btw nyangkut tidak spil spil bumi wbsa,68,1,11,2026-05-11 11:02:20+00:00,4.0
31546530,RISKYalvinop,RISKY,"$MINA udah mau 400, 300+lah ,sedangkan si $BUMI semakin mendatar🤣🤣",2026-05-11 11:01:42,2,2,"MINA, BUMI",mina udah mau lah sedangkan si bumi semakin mendatar,"['mina', 'udah', 'mau', 'lah', 'sedangkan', 'si', 'bumi', 'semakin', 'mendatar']","['mina', 'udah', 'mau', 'lah', 'sedangkan', 'si', 'bumi', 'semakin', 'mendatar']","['mina', 'bumi', 'mendatar']","['mina', 'bumi', 'mendatar']","['mina', 'bumi', 'datar']",mina bumi datar,15,1,3,2026-05-11 11:01:42+00:00,3.0
31546518,RaihanAdityaLaksan,Raihan Aditya Laksana,$BUMI pada nyangkut diberapa,2026-05-11 11:01:35,1,2,BUMI,bumi pada nyangkut diberapa,"['bumi', 'pada', 'nyangkut', 'diberapa']","['bumi', 'pada', 'nyangkut', 'diberapa']","['bumi', 'nyangkut', 'diberapa']","['bumi', 'nyangkut', 'diberapa']","['bumi', 'nyangkut', 'berapa']",bumi nyangkut berapa,20,2,3,2026-05-11 11:01:35+00:00,0.0
31546337,ianginanjar92,IANGINANJAR,"$LEAD masuk area akum

Rt:$BUMI $BUVA",2026-05-11 11:00:22,0,0,"LEAD, BUMI, BUVA",lead masuk area akum rt bumi buva,"['lead', 'masuk', 'area', 'akum', 'rt', 'bumi', 'buva']","['lead', 'masuk', 'area', 'akum', 'rt', 'bumi', 'buva']","['lead', 'masuk', 'area', 'akum', 'rt', 'bumi', 'buva']","['lead', 'masuk', 'area', 'akum', 'rt', 'bumi', 'buva']","['lead', 'masuk', 'area', 'akum', 'rt', 'bumi', 'buva']",lead masuk area akum rt bumi buva,33,0,7,2026-05-11 11:00:22+00:00,-3.0
31546253,Grahabintang,sugeng margono,"$BUMI preeetttt.....klo arb cepet turun nya,klo ara kaya keong ndat ndut ndat ndut",2026-05-11 10:59:45,0,0,BUMI,bumi preett klo arb cepet turun nya klo ara kaya keong ndat ndut ndat ndut,"['bumi', 'preett', 'klo', 'arb', 'cepet', 'turun', 'nya', 'klo', 'ara', 'kaya', 'keong', 'ndat', 'ndut', 'ndat', 'ndut']","['bumi', 'preett', 'klo', 'arb', 'cepet', 'turun', 'nya', 'klo', 'ara', 'kaya', 'keong', 'ndat', 'ndut', 'ndat', 'ndut']","['bumi', 'preett', 'arb', 'cepet', 'turun', 'ara', 'kaya', 'keong', 'ndat', 'ndut', 'ndat', 'ndut']","['bumi', 'preett', 'arb', 'cepet', 'turun', 'ara', 'kaya', 'keong', 'ndat', 'ndut', 'ndat', 'ndut']","['bumi', 'preett', 'arb', 'cepet', 'turun', 'ara', 'kaya', 'keong', 'ndat', 'ndut', 'ndat', 'ndut']",bumi preett arb cepet turun ara kaya keong ndat ndut ndat ndut,62,0,12,2026-05-11 10:59:45+00:00,-3.0
31546235,Erron07,barakman,$HUMI besok ara ini masuk sebelum ketinggalan. $FIRE $BUMI,2026-05-11 10:59:37,1,3,"HUMI, FIRE, BUMI",humi besok ara ini masuk sebelum ketinggalan fire bumi,"['humi', 'besok', 'ara', 'ini', 'masuk', 'sebelum', 'ketinggalan', 'fire', 'bumi']","['humi', 'besok', 'ara', 'ini', 'masuk', 'sebelum', 'ketinggalan', 'fire', 'bumi']","['humi', 'besok', 'ara', 'masuk', 'ketinggalan', 'fire', 'bumi']","['humi', 'besok', 'ara', 'masuk', 'ketinggalan', 'fire', 'bumi']","['humi', 'besok', 'ara', 'masuk', 'tinggal', 'fire', 'bumi']",humi besok ara masuk tinggal fire bumi,38,0,7,2026-05-11 10:59:37+00:00,-2.0
31546138,LailaNurul,Laila Nurul,$BUMI makin turun hmmm,2026-05-11 10:58:55,0,0,BUMI,bumi makin turun hmm,"['bumi', 'makin', 'turun', 'hmm']","['bumi', 'makin', 'turun', 'hmm']","['bumi', 'turun']","['bumi', 'turun']","['bumi', 'turun']",bumi turun,10,1,2,2026-05-11 10:58:55+00:00,1.0
31545752,Irbadh,IRBADH KHAMILURROYATIL ISLAM,"$AADI gue masih pemula di pasar nego
ada yg bisa jelasin gak? kok order pasar nego guee di reject ya der? padahal gue gak masang order ngelewatin ARB maupun ARA

ada yg bisa jelasin? 


$ADRO $BUMI",2026-05-11 10:56:01,1,0,"AADI, ADRO, BUMI",aadi gue masih pemula di pasar nego ada yg bisa jelasin gak kok order pasar nego guee di reject ya der padahal gue gak masang order ngelewatin arb maupun ara ada yg bisa jelasin adro bumi,"['aadi', 'gue', 'masih', 'pemula', 'di', 'pasar', 'nego', 'ada', 'yg', 'bisa', 'jelasin', 'gak', 'kok', 'order', 'pasar', 'nego', 'guee', 'di', 'reject', 'ya', 'der', 'padahal', 'gue', 'gak', 'masang', 'order', 'ngelewatin', 'arb', 'maupun', 'ara', 'ada', 'yg', 'bisa', 'jelasin', 'adro', 'bumi']","['aadi', 'gue', 'masih', 'pemula', 'di', 'pasar', 'nego', 'ada', 'yg', 'bisa', 'jelasin', 'tidak', 'kok', 'order', 'pasar', 'nego', 'guee', 'di', 'reject', 'ya', 'der', 'padahal', 'gue', 'tidak', 'masang', 'order', 'ngelewatin', 'arb', 'maupun', 'ara', 'ada', 'yg', 'bisa', 'jelasin', 'adro', 'bumi']","['aadi', 'gue', 'pemula', 'pasar', 'nego', 'jelasin', 'tidak', 'order', 'pasar', 'nego', 'guee', 'reject', 'der', 'gue', 'tidak', 'masang', 'order', 'ngelewatin', 'arb', 'ara', 'jelasin', 'adro', 'bumi']","['aadi', 'gue', 'pemula', 'pasar', 'nego', 'jelasin', 'tidak_order', 'pasar', 'nego', 'guee', 'reject', 'der', 'gue', 'tidak_masang', 'order', 'ngelewatin', 'arb', 'ara', 'jelasin', 'adro', 'bumi']","['aadi', 'gue', 'mula', 'pasar', 'nego', 'jelasin', 'tidak order', 'pasar', 'nego', 'guee', 'reject', 'der', 'gue', 'tidak masang', 'order', 'ngelewatin', 'arb', 'ara', 'jelasin', 'adro', 'bumi']",aadi gue mula pasar nego jelasin tidak order pasar nego guee reject der gue tidak masang order ngelewatin arb ara jelasin adro bumi,131,0,21,2026-05-11 10:56:01+00:00,-3.0
31545728,rafiq1986,Ahmad rafiq,$BUMI ganteng gk emiten cpro suhunya,2026-05-11 10:55:50,0,0,BUMI,bumi ganteng gk emiten cpro suhunya,"['bumi', 'ganteng', 'gk', 'emiten', 'cpro', 'suhunya']","['bumi', 'ganteng', 'gk', 'emiten', 'cpro', 'suhunya']","['bumi', 'ganteng', 'gk', 'emiten', 'cpro', 'suhunya']","['bumi', 'ganteng', 'gk', 'emiten', 'cpro', 'suhunya']","['bumi', 'ganteng', 'gk', 'emiten', 'cpro', 'suhu']",bumi ganteng gk emiten cpro suhu,32,1,6,2026-05-11 10:55:50+00:00,4.0
31545603,soratv,Asep,Dikasih diskon gini 🤪 $BUMI $RISE,2026-05-11 10:54:58,0,1,"BUMI, RISE",dikasih diskon gini bumi rise,"['dikasih', 'diskon', 'gini', 'bumi', 'rise']","['dikasih', 'diskon', 'gini', 'bumi', 'rise']","['dikasih', 'diskon', 'gini', 'bumi', 'rise']","['dikasih', 'diskon', 'gini', 'bumi', 'rise']","['kasih', 'diskon', 'gin', 'bumi', 'rise']",kasih diskon gin bumi rise,26,1,5,2026-05-11 10:54:58+00:00,4.0
31545584,sehzademoza,Tukang lotre,"gue berdoa semoga hasil MSCI nanti bagus dan membuat investor indo tersenyum😇
amin paling kenceng $IHSG $BUMI $BRPT",2026-05-11 10:54:48,28,19,"IHSG, BUMI, BRPT",gue berdoa semoga hasil msci nanti bagus dan membuat investor indo tersenyum amin paling kenceng ihsg bumi brpt,"['gue', 'berdoa', 'semoga', 'hasil', 'msci', 'nanti', 'bagus', 'dan', 'membuat', 'investor', 'indo', 'tersenyum', 'amin', 'paling', 'kenceng', 'ihsg', 'bumi', 'brpt']","['gue', 'berdoa', 'semoga', 'hasil', 'msci', 'nanti', 'bagus', 'dan', 'membuat', 'investor', 'indo', 'tersenyum', 'amin', 'paling', 'kenceng', 'ihsg', 'bumi', 'brpt']","['gue', 'berdoa', 'hasil', 'msci', 'bagus', 'investor', 'indo', 'tersenyum', 'amin', 'kenceng', 'ihsg', 'bumi', 'brpt']","['gue', 'berdoa', 'hasil', 'msci', 'bagus', 'investor', 'indo', 'tersenyum', 'amin', 'kenceng', 'ihsg', 'bumi', 'brpt']","['gue', 'doa', 'hasil', 'msci', 'bagus', 'investor', 'indo', 'senyum', 'amin', 'kenceng', 'ihsg', 'bumi', 'brpt']",gue doa hasil msci bagus investor indo senyum amin kenceng ihsg bumi brpt,73,1,13,2026-05-11 10:54:48+00:00,9.0
31545518,FirmanMenara,Imanov,"$MEDC Yokk harga minyak naekk
Menyusul $ENRG

$BUMI",2026-05-11 10:54:20,0,0,"MEDC, ENRG, BUMI",medc yokk harga minyak naekk menyusul enrg bumi,"['medc', 'yokk', 'harga', 'minyak', 'naekk', 'menyusul', 'enrg', 'bumi']","['medc', 'yokk', 'harga', 'minyak', 'naekk', 'menyusul', 'enrg', 'bumi']","['medc', 'yokk', 'harga', 'minyak', 'naekk', 'menyusul', 'enrg', 'bumi']","['medc', 'yokk', 'harga', 'minyak', 'naekk', 'menyusul', 'enrg', 'bumi']","['medc', 'yokk', 'harga', 'minyak', 'naekk', 'susul', 'enrg', 'bumi']",medc yokk harga minyak naekk susul enrg bumi,44,1,8,2026-05-11 10:54:20+00:00,3.0
31545464,cuanivora,Cuanivora,"Lumayan 21% gak sampai seminggu. Saham $BMHS sudah mincu bisiki sejak tanggal 8 Mei kemarin, waktu harganya belum kemana-kemana (185). Sebenernya tanpa hantavirus pun emiten ini punya katalis menarik, sayang luput dari pandangan khalayak. Atau mungkin belum pada tau?

Cc $BUMI $CDIA",2026-05-11 10:53:58,0,1,"BMHS, BUMI, CDIA",lumayan gak sampai seminggu saham bmhs sudah mincu bisiki sejak tanggal mei kemarin waktu harganya belum kemana kemana sebenernya tanpa hantavirus pun emiten ini punya katalis menarik sayang luput dari pandangan khalayak atau mungkin belum pada tau cc bumi cdia,"['lumayan', 'gak', 'sampai', 'seminggu', 'saham', 'bmhs', 'sudah', 'mincu', 'bisiki', 'sejak', 'tanggal', 'mei', 'kemarin', 'waktu', 'harganya', 'belum', 'kemana', 'kemana', 'sebenernya', 'tanpa', 'hantavirus', 'pun', 'emiten', 'ini', 'punya', 'katalis', 'menarik', 'sayang', 'luput', 'dari', 'pandangan', 'khalayak', 'atau', 'mungkin', 'belum', 'pada', 'tau', 'cc', 'bumi', 'cdia']","['lumayan', 'tidak', 'sampai', 'seminggu', 'saham', 'bmhs', 'sudah', 'mincu', 'bisiki', 'sejak', 'tanggal', 'mei', 'kemarin', 'waktu', 'harganya', 'belum', 'kemana', 'kemana', 'sebenernya', 'tanpa', 'hantavirus', 'pun', 'emiten', 'ini', 'punya', 'katalis', 'menarik', 'sayang', 'luput', 'dari', 'pandangan', 'khalayak', 'atau', 'mungkin', 'belum', 'pada', 'tau', 'cc', 'bumi', 'cdia']","['lumayan', 'tidak', 'seminggu', 'saham', 'bmhs', 'mincu', 'bisiki', 'tanggal', 'mei', 'kemarin', 'harganya', 'belum', 'kemana', 'kemana', 'sebenernya', 'hantavirus', 'emiten', 'katalis', 'menarik', 'sayang', 'luput', 'pandangan', 'khalayak', 'belum', 'tau', 'cc', 'bumi', 'cdia']","['lumayan', 'tidak_seminggu', 'saham', 'bmhs', 'mincu', 'bisiki', 'tanggal', 'mei', 'kemarin', 'harganya', 'belum_kemana', 'kemana', 'sebenernya', 'hantavirus', 'emiten', 'katalis', 'menarik', 'sayang', 'luput', 'pandangan', 'khalayak', 'belum_tau', 'cc', 'bumi', 'cdia']","['lumayan', 'tidak minggu', 'saham', 'bmhs', 'mincu', 'bisik', 'tanggal', 'mei', 'kemarin', 'harga', 'belum mana', 'mana', 'sebenernya', 'hantavirus', 'emiten', 'katalis', 'tarik', 'sayang', 'luput', 'pandang', 'khalayak', 'belum tau', 'cc', 'bumi', 'cdia']",lumayan tidak minggu saham bmhs mincu bisik tanggal mei kemarin harga belum mana mana sebenernya hantavirus emiten katalis tarik sayang luput pandang khalayak belum tau cc bumi cdia,181,1,25,2026-05-11 10:53:58+00:00,2.0
31545279,ZULFIKIH,FIKIZUL,"$MDIA 125-140

Tag Random : $BUMI $KRYA

#Dyor
Bukan Ajakan Jual Beli",2026-05-11 10:52:35,0,0,"MDIA, BUMI, KRYA",mdia tag random bumi krya dyor bukan ajakan jual beli,"['mdia', 'tag', 'random', 'bumi', 'krya', 'dyor', 'bukan', 'ajakan', 'jual', 'beli']","['mdia', 'tag', 'random', 'bumi', 'krya', 'dyor', 'bukan', 'ajakan', 'jual', 'beli']","['mdia', 'tag', 'random', 'bumi', 'krya', 'dyor', 'bukan', 'ajakan', 'jual', 'beli']","['mdia', 'tag', 'random', 'bumi', 'krya', 'dyor', 'bukan_ajakan', 'jual', 'beli']","['mdia', 'tag', 'random', 'bumi', 'krya', 'dyor', 'bukan aja', 'jual', 'beli']",mdia tag random bumi krya dyor bukan aja jual beli,50,0,9,2026-05-11 10:52:35+00:00,-1.0
31545121,bandisu,Subandi,"$GRPM siap2 jadi perusahaan batu bara
$BMRI $BUMI.",2026-05-11 10:51:28,1,0,"GRPM, BMRI, BUMI",grpm siap jadi perusahaan batu bara bmri bumi,"['grpm', 'siap', 'jadi', 'perusahaan', 'batu', 'bara', 'bmri', 'bumi']","['grpm', 'siap', 'jadi', 'perusahaan', 'batu', 'bara', 'bmri', 'bumi']","['grpm', 'perusahaan', 'batu', 'bara', 'bmri', 'bumi']","['grpm', 'perusahaan', 'batu', 'bara', 'bmri', 'bumi']","['grpm', 'usaha', 'batu', 'bara', 'bmri', 'bumi']",grpm usaha batu bara bmri bumi,30,1,6,2026-05-11 10:51:28+00:00,5.0
31545085,Wahyuhid2005,Wahyu,$BUMI saham bikin kapok Makin dalam naiknya beraaaatttt...makan dulu gaess,2026-05-11 10:51:13,1,0,BUMI,bumi saham bikin kapok makin dalam naiknya beraatt makan dulu gaess,"['bumi', 'saham', 'bikin', 'kapok', 'makin', 'dalam', 'naiknya', 'beraatt', 'makan', 'dulu', 'gaess']","['bumi', 'saham', 'bikin', 'kapok', 'makin', 'dalam', 'naiknya', 'beraatt', 'makan', 'dulu', 'gaess']","['bumi', 'saham', 'kapok', 'naiknya', 'beraatt', 'makan', 'gaess']","['bumi', 'saham', 'kapok', 'naiknya', 'beraatt', 'makan', 'gaess']","['bumi', 'saham', 'kapok', 'naik', 'beraatt', 'makan', 'gaess']",bumi saham kapok naik beraatt makan gaess,41,0,7,2026-05-11 10:51:13+00:00,-1.0
31545029,Yulia44,Yuli,$BUMI,2026-05-11 10:50:53,0,0,BUMI,bumi,['bumi'],['bumi'],['bumi'],['bumi'],['bumi'],bumi,4,2,1,2026-05-11 10:50:53+00:00,0.0
31545000,edoprabowo,Edo,$BUMI ritel sudah pada cl kah?,2026-05-11 10:50:39,0,0,BUMI,bumi ritel sudah pada cl kah,"['bumi', 'ritel', 'sudah', 'pada', 'cl', 'kah']","['bumi', 'ritel', 'sudah', 'pada', 'cl', 'kah']","['bumi', 'ritel', 'cl', 'kah']","['bumi', 'ritel', 'cl', 'kah']","['bumi', 'ritel', 'cl', 'kah']",bumi ritel cl kah,17,2,4,2026-05-11 10:50:39+00:00,0.0
